epoch,train_loss,valid_loss,error_rate,accuracy,time
0,1.103966,1.088781,0.614444,0.385556,01:21
1,1.090998,1.070305,0.578889,0.421111,00:37
2,1.075218,1.039741,0.506667,0.493333,00:35
3,1.053879,0.996832,0.464444,0.535556,00:41
4,1.017101,0.970682,0.467778,0.532222,00:37
5,0.980950,0.947281,0.454444,0.545556,00:41
6,0.947606,0.932454,0.460000,0.540000,00:44
7,0.921943,0.925497,0.452222,0.547778,00:42
8,0.896095,0.916448,0.454444,0.545556,00:43
9,0.868711,0.919176,0.438889,0.561111,00:38
10,0.844601,0.908197,0.434444,0.565556,00:38
11,0.828477,0.918313,0.447778,0.552222,00:38
12,0.800212,0.910993,0.440000,0.560000,00:35
13,0.799206,0.909045,0.446667,0.553333,00:49
14,0.782431,0.909895,0.430000,0.570000,00:45
15,0.772708,0.916563,0.441111,0.558889,00:43
16,0.747205,0.920368,0.443333,0.556667,00:42
17,0.737929,0.916031,0.445556,0.554444,00:43
18,0.728721,0.916598,0.431111,0.568889,00:41
19,0.724910,0.920411,0.436667,0.563333,00:43
20,0.736769,0.916073,0.432222,0.567778,00:44
21,0.732206,0.918923,0.432222,0.567778,01:06
22,0.725624,0.917295,0.445556,0.554444,01:37
23,0.713538,0.915748,0.432222,0.567778,00:53
24,0.704301,0.916350,0.432222,0.567778,01:00
25,0.716507,0.922833,0.434444,0.565556,00:53
26,0.709963,0.928112,0.433333,0.566667,00:49
27,0.705916,0.938160,0.437778,0.562222,00:44
28,0.701071,0.918066,0.436667,0.563333,00:59
29,0.704259,0.921964,0.434444,0.565556,00:48
